2021-1-00501,Ruthy,Non-binary,O'Keenan,student,College of Nursing,1992-06-28,Female,5'5,66.36,A+
2021-2-00501,Dorothea,Bigender,Mapletoft,student,College of International Tourism and Hospitality Management,1999-05-28,Female,5'6,30.21,O+
2021-3-00501,Alfy,Male,Thrush,student,College of Arts and Sciences,1981-09-12,Male,5'9,44.52,B+
2021-4-00501,Felecia,Male,Birdfield,student,College of Nursing,1980-12-22,Female,5'4,69.65,A+
2021-1-00502,Rancell,Female,Labden,student,College of Nursing,1999-03-06,Female,5'5,31.01,A+
2021-2-00502,Karon,Female,Samweyes,student,College of International Tourism and Hospitality Management,1991-02-19,Male,5'6,36.07,O+
2021-3-00502,Nadine,Bigender,Boucher,student,College of Allied Medical Sciences,1985-02-19,Male,5'9,41.28,B+
2021-4-00502,Steffie,Bigender,Sloam,student,College of Allied Medical Sciences,1998-05-03,Female,5'4,53.47,A+
2021-1-00503,Jacqui,Agender,Gaughan,student,College of Business Administration,1996-01-20,Female,5'5,73.5,A+
2021-2-00503,Melisenda,Bigender,Ruoss,student,College of Nursing,1990-10-08,Female,5'6,84.48,O+
2021-3-00503,Donall,Non-binary,Piola,student,College of Allied Medical Sciences,1983-03-16,Female,5'9,68.94,B+
2021-4-00503,Shannah,Non-binary,Tomasello,student,College of Nursing,1994-12-10,Male,5'4,95.1,A+
2021-1-00504,Suzi,Genderqueer,Ubsdell,student,College of Business Administration,1997-11-12,Male,5'5,7.48,A+
2021-2-00504,Betsey,Non-binary,Randall,student,College of Fine Arts and Design,1997-10-01,Male,5'6,80.05,O+
2021-3-00504,Carmita,Male,Clubley,student,College of Arts and Sciences,1992-10-25,Male,5'9,2.25,B+
2021-4-00504,Megen,Genderqueer,Noni,student,College of Arts and Sciences,2001-10-21,Male,5'4,48.24,A+
2021-1-00505,Ezmeralda,Agender,Noraway,student,College of Fine Arts and Design,1990-05-30,Female,5'5,92.68,A+
2021-2-00505,Winston,Non-binary,Folkard,student,College of Business Administration,1994-10-01,Female,5'6,93.13,O+
2021-3-00505,Gladys,Genderfluid,Regitz,student,"College of Engineering, Computer Studies and Architecture",1991-06-23,Female,5'9,73.26,B+
2021-4-00505,Valerie,Non-binary,Boylan,student,"College of Engineering, Computer Studies and Architecture",2002-07-05,Male,5'4,72.02,A+
2021-1-00506,Hayes,Genderqueer,Pettiford,student,College of Fine Arts and Design,2001-01-29,Female,5'5,45.94,A+
2021-2-00506,Teddie,Bigender,Collicott,student,College of Business Administration,1992-07-25,Female,5'6,6.91,O+
2021-3-00506,Alleyn,Polygender,Beltzner,student,College of Fine Arts and Design,1993-02-10,Female,5'9,33.16,B+
2021-4-00506,Camila,Polygender,Huguet,student,College of Arts and Sciences,1994-09-03,Male,5'4,45.4,A+
2021-1-00507,Osgood,Genderqueer,McAllister,student,College of Arts and Sciences,1998-04-29,Female,5'5,5.79,A+
